Vernacular name	Scientific name	Status in Finland	Red List category in Finland	Regulatory Status	Synonyms
Sea lamprey	Petromyzon marinus	Regular vagrant			
River lamprey	Lampetra fluviatilis	Stable population	NT (2019)	EU Habitats Directive Annex II; EU Habitats Directive Annex V; EU Habitats Directive Annex II, exception granted for Finnish populations; Safeguarding Endangered Species in Forestry – Lajiturva Project 2019–2021; Species used in the automatic procedure for forest use notifications (MKI-OHKE 2023)	
Brook lamprey	Lampetra planeri	Stable population	LC (2019)	EU Habitats Directive Annex II; EU Habitats Directive Annex II, exception granted for Finnish populations; Safeguarding Endangered Species in Forestry – Lajiturva Project 2019–2021; Species used in the automatic procedure for forest use notifications (MKI-OHKE 2023); OUTDATED Fish species subject to the Nature Conservation Act (NCD 1997/160, Appendix 1)	
Picked dogfish	Squalus acanthias	Regular vagrant			
Atlantic sturgeon	Acipenser oxyrinchus	Anthropogenic; Extinct; Regular vagrant	RE (2019)		
Siberian sturgeon	Acipenser baerii	Anthropogenic; Regular vagrant			
Danube sturgeon, Russian sturgeon	Acipenser gueldenstaedtii	Anthropogenic; Regular vagrant			
Sterlet	Acipenser ruthenus	Regular vagrant; Not established; Import			
Starry sturgeon	Acipenser stellatus	Anthropogenic; Regular vagrant			
European eel	Anguilla anguilla		CR (2019)	Convention on International Trade in Endangered Species of Wild Flora and Fauna - CITES, Appendix II; EU regulation regarding CITES, Appendix B	
European conger	Conger conger	Regular vagrant			
European anchovy	Engraulis encrasicolus	Regular vagrant	NA (2019)		
Sprat	Sprattus sprattus	Stable population	LC (2019)		
Allis shad	Alosa alosa	Irregular vagrant			
Twaite shad	Alosa fallax	Regular vagrant	NA (2019)		
Spined loach	Cobitis taenia	Stable population	NT (2019)	EU Habitats Directive Annex II; EU Habitats Directive Annex II, exception granted for Finnish populations; OUTDATED Species to be protected urgently (Finnish Environment Institute 2010-2011); OUTDATED Fish species subject to the Nature Conservation Act (NCD 1997/160, Appendix 1); OUTDATED Threatened species (NCD 1997/160, Appendix 4 2013/471)	
Stone loach	Barbatula barbatula	Stable population	LC (2019)	OUTDATED Fish species subject to the Nature Conservation Act (NCD 1997/160, Appendix 1)	Nemacheilus barbatulus (Linnaeus, 1758)
Prussian carp	Carassius gibelio	Stable population; Anthropogenic	NA (2019)	Finland’s National Strategy on Invasive Alien Species (GR 2012); Other invasive alien species of concern (not included on the national or EU list)	
Crucian carp	Carassius carassius	Stable population	LC (2019)	OUTDATED Fish species subject to the Nature Conservation Act (NCD 1997/160, Appendix 1)	
Goldfish	Carassius auratus	Anthropogenic			
Common carp	Cyprinus carpio	Not established; Import	NA (2019)	Finland’s National Strategy on Invasive Alien Species (GR 2012); Other invasive alien species of concern (not included on the national or EU list)	
Grass carp	Ctenopharyngodon idella	Not established; Import			
Tench	Tinca tinca	Stable population	LC (2019)		
European bitterling	Rhodeus amarus	Anthropogenic			
Gudgeon	Gobio gobio	Stable population	LC (2019)	OUTDATED Fish species subject to the Nature Conservation Act (NCD 1997/160, Appendix 1)	
White-finned gudgeon	Romanogobio albipinnatus	Stable population; Anthropogenic	NA (2019)	Other invasive species; Other invasive alien species of concern (not included on the national or EU list)	
Eurasian minnow	Phoxinus phoxinus	Stable population	LC (2019)	OUTDATED Fish species subject to the Nature Conservation Act (NCD 1997/160, Appendix 1)	
Common bream	Abramis brama	Stable population	LC (2019)		
Bleak	Alburnus alburnus	Stable population	LC (2019)	OUTDATED Fish species subject to the Nature Conservation Act (NCD 1997/160, Appendix 1)	
Zope	Ballerus ballerus	Stable population	LC (2019)	OUTDATED Fish species subject to the Nature Conservation Act (NCD 1997/160, Appendix 1)	Abramis ballerus (Linnaeus, 1758)
Silver bream	Blicca bjoerkna	Stable population	LC (2019)	OUTDATED Fish species subject to the Nature Conservation Act (NCD 1997/160, Appendix 1)	
Common nase	Chondrostoma nasus	Anthropogenic			
Belica	Leucaspius delineatus	Anthropogenic; Stable population	NA (2019)	OUTDATED Fish species subject to the Nature Conservation Act (NCD 1997/160, Appendix 1)	
Dace	Leuciscus leuciscus	Stable population	LC (2019)	OUTDATED Fish species subject to the Nature Conservation Act (NCD 1997/160, Appendix 1)	
Ide	Leuciscus idus	Stable population	LC (2019)		
Asp	Leuciscus aspius	Stable population	NT (2019)	EU Habitats Directive Annex II; EU Habitats Directive Annex V; EU Habitats Directive Annex II, exception granted for Finnish populations	Aspius aspius (Linnaeus, 1758)
Sichel	Pelecus cultratus	Stable population; Regular vagrant	LC (2019)	EU Habitats Directive Annex II; EU Habitats Directive Annex V; OUTDATED Fish species subject to the Nature Conservation Act (NCD 1997/160, Appendix 1)	
Roach	Rutilus rutilus	Stable population	LC (2019)		
Common rudd	Scardinius erythrophthalmus	Stable population	LC (2019)	OUTDATED Fish species subject to the Nature Conservation Act (NCD 1997/160, Appendix 1)	
Chub	Squalius cephalus	Stable population	LC (2019)	OUTDATED Fish species subject to the Nature Conservation Act (NCD 1997/160, Appendix 1)	Leuciscus cephalus (Linnaeus, 1758)
Vimba bream	Vimba vimba	Stable population	LC (2019)		
Longnose sucker	Catostomus catostomus	Anthropogenic; Regular vagrant			
Wels catfish	Silurus glanis	Extinct	RE (2019)		
Brown bullhead	Ameiurus nebulosus	Stable population; Import	NA (2019)	Other invasive species; Other invasive alien species of concern (not included on the national or EU list); OUTDATED Fish species subject to the Nature Conservation Act (NCD 1997/160, Appendix 1)	Ictalurus nebulosus (Lesueur, 1819)
Peled	Coregonus peled	Import	NA (2019)	Finland’s National Strategy on Invasive Alien Species (GR 2012); Other invasive alien species of concern (not included on the national or EU list)	
Vendace	Coregonus albula	Stable population	LC (2019)	EU Habitats Directive Annex V	
Broad whitefish	Coregonus nasus	Anthropogenic; Irregular vagrant			
Atlantic salmon	Salmo salar	Stable population	EN (2000)	EU Habitats Directive Annex II; EU Habitats Directive Annex V; EU Habitats Directive Annex II, exception granted for Finnish populations; Safeguarding Endangered Species in Forestry – Lajiturva Project 2019–2021; Species used in the automatic procedure for forest use notifications (MKI-OHKE 2023)	
Brown trout	Salmo trutta	Stable population	EN (2019)	Safeguarding Endangered Species in Forestry – Lajiturva Project 2019–2021; Species used in the automatic procedure for forest use notifications (MKI-OHKE 2023)	
Rainbow trout	Oncorhynchus mykiss	Not established; Import	NA (2019)	Finland’s National Strategy on Invasive Alien Species (GR 2012); Other invasive alien species of concern (not included on the national or EU list)	Salmo gairdneri (Richardson, 1836)
Pink salmon	Oncorhynchus gorbuscha	Anthropogenic; Regular vagrant	NA (2019)	Finland’s National Strategy on Invasive Alien Species (GR 2012); Other invasive alien species of concern (not included on the national or EU list)	
Sockeye salmon	Oncorhynchus nerka	Not established; Import			
Chinook salmon	Oncorhynchus tshawytscha	Regular vagrant; Import; Anthropogenic; Not established			
Chum salmon	Oncorhynchus keta	Anthropogenic; Stable population			
Brook trout	Salvelinus fontinalis	Stable population; Anthropogenic; Import	NA (2019)	Finland’s National Strategy on Invasive Alien Species (GR 2012); Other invasive alien species of concern (not included on the national or EU list)	
Lake trout	Salvelinus namaycush	Anthropogenic; Import		Finland’s National Strategy on Invasive Alien Species (GR 2012); Other invasive alien species of concern (not included on the national or EU list)	
Arctic char	Salvelinus alpinus	Stable population			
Grayling	Thymallus thymallus	Stable population	CR (2019)	EU Habitats Directive Annex V; Safeguarding Endangered Species in Forestry – Lajiturva Project 2019–2021	
Pike	Esox lucius	Stable population	LC (2019)		
Smelt	Osmerus eperlanus	Stable population	LC (2019)		
Burbot	Lota lota	Stable population	NT (2019)		
Fourbeard rockling	Enchelyopus cimbrius	Regular vagrant	NA (2019)		
Cod	Gadus morhua	Regular vagrant	NA (2019)		Gadus callarias L.
Atlantic mackerel	Scomber scombrus	Regular vagrant	NA (2019)		
Straightnose pipefish	Nerophis ophidion	Stable population	LC (2019)	OUTDATED Fish species subject to the Nature Conservation Act (NCD 1997/160, Appendix 1)	
Broadnosed pipefish	Syngnathus typhle	Stable population	LC (2019)	OUTDATED Fish species subject to the Nature Conservation Act (NCD 1997/160, Appendix 1)	
Chinese sleeper	Perccottus glenii	Anthropogenic		Invasive alien species of Union concern (EU 2016/1141; 2017/1263; 2019/1262; 2022/1203; 2025/1422); Finland’s National Strategy on Invasive Alien Species (GR 2012)	
Black goby	Gobius niger	Stable population	NT (2019)	OUTDATED Fish species subject to the Nature Conservation Act (NCD 1997/160, Appendix 1)	
Round goby	Neogobius melanostomus	Stable population; Anthropogenic	NA (2019)	Finland’s National Strategy on Invasive Alien Species (GR 2012); Other invasive alien species of concern (not included on the national or EU list)	
Sand goby	Pomatoschistus minutus	Stable population	LC (2019)	OUTDATED Fish species subject to the Nature Conservation Act (NCD 1997/160, Appendix 1)	
Two-spotted goby	Pomatoschistus flavescens	Stable population	NT (2019)	OUTDATED Fish species subject to the Nature Conservation Act (NCD 1997/160, Appendix 1)	Gobiusculus flavescens (Fabricius, 1779)
Common goby	Pomatoschistus microps	Stable population	LC (2019)	OUTDATED Fish species subject to the Nature Conservation Act (NCD 1997/160, Appendix 1)	
Turbot	Scophthalmus maximus	Stable population	LC (2019)		Psetta maxima (Linnaeus, 1758)
Brill	Scophthalmus rhombus	Irregular vagrant			
Baltic flounder	Platichthys solemdali	Stable population			
European flounder	Platichthys flesus				
Plaice	Pleuronectes platessa	Regular vagrant			
Common dab	Limanda limanda	Regular vagrant			
Garfish	Belone belone	Stable population	LC (2019)	OUTDATED Fish species subject to the Nature Conservation Act (NCD 1997/160, Appendix 1)	
Thicklip grey mullet	Chelon labrosus	Irregular vagrant			
Thinlip grey mullet	Chelon ramada	Regular vagrant			Liza ramada (Risso, 1827)
Ruffe	Gymnocephalus cernua	Stable population	LC (2019)		Acerina cernua (Linnaeus, 1758)
Perch	Perca fluviatilis	Stable population	LC (2019)		
Pike-perch	Sander lucioperca	Stable population	LC (2019)		Stizostedion lucioperca (L.)
järvikivisimppu	Cottus koshewnikowi	Stable population			
Alpine bullhead	Cottus poecilopus	Stable population	LC (2019)	OUTDATED Fish species subject to the Nature Conservation Act (NCD 1997/160, Appendix 1)	
Shorthorn sculpin	Myoxocephalus scorpius	Stable population	DD (2019)	OUTDATED Fish species subject to the Nature Conservation Act (NCD 1997/160, Appendix 1)	
Fourhorn sculpin	Myoxocephalus quadricornis	Stable population	LC (2019)		Triglopsis quadricornis (Linnaeus, 1758)
Longspined bullhead	Taurulus bubalis	Stable population	DD (2019)	OUTDATED Fish species subject to the Nature Conservation Act (NCD 1997/160, Appendix 1)	
Hooknose	Agonus cataphractus	Regular vagrant			
Lumpsucker	Cyclopterus lumpus	Stable population	LC (2019)	OUTDATED Fish species subject to the Nature Conservation Act (NCD 1997/160, Appendix 1)	
Common seasnail	Liparis liparis	Stable population	DD (2019)	OUTDATED Fish species subject to the Nature Conservation Act (NCD 1997/160, Appendix 1)	
Threespine stickleback	Gasterosteus aculeatus	Stable population	LC (2019)	OUTDATED Fish species subject to the Nature Conservation Act (NCD 1997/160, Appendix 1)	
Ninespine stickleback	Pungitius pungitius	Stable population	LC (2019)	OUTDATED Fish species subject to the Nature Conservation Act (NCD 1997/160, Appendix 1)	
Fifteenspined stickleback	Spinachia spinachia	Stable population	NT (2019)	OUTDATED Fish species subject to the Nature Conservation Act (NCD 1997/160, Appendix 1)	
Brook stickleback	Culaea inconstans	Stable population; Import	NA (2019)	OUTDATED Fish species subject to the Nature Conservation Act (NCD 1997/160, Appendix 1)	
Eelpout	Zoarces viviparus	Stable population	LC (2019)		
Snake blenny	Lumpenus lampretaeformis	Stable population	DD (2019)	OUTDATED Fish species subject to the Nature Conservation Act (NCD 1997/160, Appendix 1)	
Great sandeel	Hyperoplus lanceolatus	Stable population	LC (2019)	OUTDATED Fish species subject to the Nature Conservation Act (NCD 1997/160, Appendix 1)	
Small sandeel	Ammodytes tobianus	Stable population	LC (2019)	OUTDATED Fish species subject to the Nature Conservation Act (NCD 1997/160, Appendix 1)	
Smallmouth bass	Micropterus dolomieu	Not established; Import			
Largemouth bass	Micropterus salmoides	Not established; Import			
Pumpkinseed	Lepomis gibbosus	Stable population; Anthropogenic	NA (2019)	Invasive alien species of Union concern (EU 2016/1141; 2017/1263; 2019/1262; 2022/1203; 2025/1422)	
European seabass	Dicentrarchus labrax	Regular vagrant	NA (2019)		
